Sample	Series	Platform	Speak	Breakpoint_CNA	Breakpoint_CBS	Spread	Label
GSM513828	GSE20481	GPL2004	4.41959467345465	28	29	0.292622698906071	1
GSM513874	GSE20481	GPL2004	7.52395922764128	22	28	0.28819858328461	1
GSM513875	GSE20481	GPL2004	4.66254109866691	17	41	0.294874555424878	1
GSM513945	GSE20481	GPL2004	4.79598559288395	36	90	0.267346829328167	1
GSM513950	GSE20481	GPL2004	3.13430190997686	11	42	0.262395965578248	1
GSM513951	GSE20481	GPL2004	4.4737427310664	58	87	0.244890223273802	1
GSM513963	GSE20481	GPL2004	7.61538575805747	28	46	0.234540061356809	1
GSM513964	GSE20481	GPL2004	4.94101274600796	33	63	0.212849017454101	1
GSM513976	GSE20481	GPL2004	5.06181897286353	26	41	0.267266411295615	1
GSM514038	GSE20481	GPL2004	6.8387400673453	29	47	0.249454186885019	1
GSM514039	GSE20481	GPL2004	4.87595379458057	20	50	0.241957716111291	1
GSM514047	GSE20481	GPL2004	5.96798771826059	18	57	0.302285451450902	1
GSM514049	GSE20481	GPL2004	4.11380027546165	13	58	0.264180107810868	1
GSM514098	GSE20481	GPL2004	4.66261750331598	26	46	0.259404816877022	1
GSM514105	GSE20481	GPL2004	5.46579308688876	22	48	0.279923366512469	1
GSM514124	GSE20481	GPL2004	6.45228071677667	16	31	0.261285269366409	1
GSM514139	GSE20481	GPL2004	2.86279777905836	5	32	0.284216055569023	1
GSM514162	GSE20481	GPL2004	4.46341428572841	14	27	0.386957875270353	1
GSM514179	GSE20481	GPL2004	2.99346190861226	12	31	0.26247452999101	1
GSM623697	GSE25399	GPL2004	3.4413694845272	9	43	0.307904688138603	1
GSM623712	GSE25399	GPL2004	3.01294655851366	7	24	0.282194495468569	1
GSM623720	GSE25399	GPL2004	5.87668244112707	7	24	0.33110716278238	1
GSM640228	GSE26075	GPL2004	5.68629344923537	24	37	0.303723302105903	1
GSM169429	GSE7068	GPL2005	10.7990943697595	22	52	0.258190411323487	1
GSM174829	GSE7255	GPL2005	5.90971605688729	19	46	0.256550692116092	1
GSM197635	GSE8046	GPL2005	3.1623147230038	9	43	0.391289762825821	1
GSM198614	GSE8046	GPL2005	4.95654364760095	34	88	0.278731747044017	1
GSM213041	GSE8271	GPL2005	7.74848415250058	12	26	0.368018820281712	1
GSM213044	GSE8271	GPL2005	4.87731098095849	13	47	0.41141691504081	1
GSM248330	GSE9635	GPL2005	3.97503691001366	21	40	0.430892933231263	1
GSM248364	GSE9635	GPL2005	4.93587610978235	19	29	0.42709839443013	1
GSM255173	GSE10099	GPL2005	5.4047670301999	67	95	0.245756235884996	1
GSM255174	GSE10099	GPL2005	3.71496749430138	30	47	0.237375007234483	1
GSM255175	GSE10099	GPL2005	3.8299211559295	46	63	0.276743328569054	1
GSM255179	GSE10099	GPL2005	6.77109486002668	27	42	0.280309893039173	1
GSM255183	GSE10099	GPL2005	6.22037881349098	14	32	0.35375470151385	1
GSM255186	GSE10099	GPL2005	6.23140468155227	43	48	0.310651266495734	1
GSM255188	GSE10099	GPL2005	4.65091933916604	30	81	0.273064015096645	1
GSM255189	GSE10099	GPL2005	6.42855383617277	16	35	0.297152858250383	1
GSM255190	GSE10099	GPL2005	4.08329641811867	20	57	0.227712099218529	1
GSM255191	GSE10099	GPL2005	3.77513891219128	26	76	0.291249141168015	1
GSM255192	GSE10099	GPL2005	2.923305388803	9	32	0.289984467630971	1
GSM255195	GSE10099	GPL2005	4.10337364671314	32	36	0.239591354481464	1
GSM255196	GSE10099	GPL2005	5.65111015249216	10	30	0.267723173211811	1
GSM255197	GSE10099	GPL2005	6.1284001832444	25	71	0.249261622426656	1
